Name,Description,List,Labels,Members,Due
Epic: Measurement feasibility (MVP),Proof-of-concept for measurement capture and estimation,Backlog,measurement,,
Spike: Measurement feasibility (MVP) - POC,Run a POC that accepts photos and returns estimated measurements,Backlog,measurement;spike,,
User Story: Account Registration,As a shopper I can create an account and verify email.,To Do,auth,,
User Story: Save Measurement Profile,As a user I can save a measurement profile to reuse for orders.,To Do,measurements,,
User Story: Browse Catalog,As a shopper I can browse categories and filter products.,To Do,catalog,,
User Story: Product Detail Page,As a shopper I can view product details, images, materials, and size guide.,To Do,catalog,,
User Story: Persistent Cart,Cart persists across devices when user is logged in.,To Do,checkout,,
User Story: Checkout with Paystack,As a shopper I can complete payment with Paystack.,To Do,checkout;payments,,
User Story: AI Chatbot FAQ,Chatbot answers FAQs and provides order status lookups.,To Do,ai;chatbot,,
User Story: Booking Virtual Consultation,User schedules virtual consultation and receives calendar invite.,To Do,consult;booking,,
Task: Admin Dashboard - core,Admin can manage products, orders, and leads.,Backlog,admin,,
Task: Marketing Automation,Setup abandoned cart flows and CRM integration,Backlog,marketing,,
Task: Analytics & Monitoring,Instrument GA4, Sentry and basic analytics events.,Backlog,analytics,,
