Name,Description,List,Labels,Members,Due
Repo + CI: Initialize repository and CI,Create repo, branch protections and CI pipeline,Backlog,setup,,
Infra bootstrap: Terraform & AWS account,Create Terraform skeleton and staging infra,Backlog,infra,,
Design System: UI kit + Storybook,Create base design system and Storybook,Backlog,design,,
Product Model & CMS decision,Define product schema and choose CMS,Backlog,product,,
Frontend skeleton: Next.js app,Scaffold Next.js app with layout and routes,To Do,frontend,,
Backend skeleton: NestJS service,Scaffold backend project and core modules,To Do,backend,,
Auth MVP: registration & login,Implement registration/login endpoints and UI,To Do,auth,,
Product API & seed data,Create product CRUD API and seed sample products,To Do,api,,
Product listing UI,List & filter products page with sample data,To Do,frontend,,
Payments spike: PSP sandbox integration,Integrate Paystack/Flutterwave in sandbox,To Do,payments,,
Measurement spike: MediaPipe POC,CV spike to return measurements from images,To Do,measurement;spike,,
Staging deploy: deploy frontend & backend to staging,Deploy apps to staging environment,Backlog,deploy,,
QA & testing: set up test harness,Add unit/integration tests and CI gating,Backlog,testing,,
